PUNTO;A 2023_0089 1;A 2024_0092 3;A 2024_0098 3;A 2024_0116 3;A 2024_0079 3;A 2024_0105 3;B 2023_0089 23;B 2024_0092 19;B 2024_0098 19;B 2024_0116 19;B 2024_0079 19;B 2024_0105 19;C 2023_0089 25;C 2024_0092 26;C 2024_0098 26;C 2024_0116 26;C 2024_0079 26;C 2024_0105 26;D 2023_0089 26;D 2024_0092 27;D 2024_0098 27;D 2024_0116 27;D 2024_0079 27;D 2024_0105 27;E 2023_0089 43;E 2024_0092 41;E 2024_0098 41;E 2024_0116 41;E 2024_0079 41;E 2024_0105 41;F 2023_0089 50;F 2024_0092 50;F 2024_0098 50;F 2024_0116 50;F 2024_0079 50;F 2024_0105 50;G 2023_0089 64;G 2024_0092 64;G 2024_0098 64;G 2024_0116 64;G 2024_0079 64;G 2024_0105 64;H 2023_0089 43;H 2024_0092 41;H 2024_0098 41;H 2024_0116 41;H 2024_0079 41;H 2024_0105 41;I 2023_0089 45;I 2024_0092 47;I 2024_0098 47;I 2024_0116 47;I 2024_0079 46;I 2024_0105 47;J 2023_0089 46;J 2024_0092 48;J 2024_0098 48;J 2024_0116 48;J 2024_0079 47;J 2024_0105 48;
404;-377.06;-253.41;-307.25;-279.52;-286.5;-260.22;-449.58;-280.18;-333.52;-387.85;-374.12;-338.57;-410.73;-242.44;-290.42;-270.64;-215.9;-279.11;-409.53;-239.95;-259.61;-304.56;-94.21;-194.42;-383.44;-311.92;-278.74;-329.78;-258.5;-287.26;-384.2;-198.3;-195.71;-283.7;-184.15;-217.66;-368.11;-225.5;-218.11;-293.09;-140.21;-230.75;-383.44;-311.92;-278.74;-329.78;-258.5;-287.26;-398.17;-260.34;-265.86;-276.12;-331.53;-244.86;-333.57;-301.14;-256.26;-340.55;-216.5;-335.12;
405;-377.1;-253.58;-307.46;-279.57;-286.75;-260.22;-449.58;-281.26;-333.56;-388.15;-374.29;-338.61;-410.6;-242.65;-290.25;-270.56;-216.36;-278.98;-409.48;-240.07;-259.65;-304.31;-93.92;-186.61;-383.44;-312.21;-278.78;-329.74;-258.83;-287.26;-384.2;-198.42;-195.67;-283.7;-185.03;-217.74;-368.11;-225.75;-218.19;-293.17;-140.75;-230.92;-383.44;-312.21;-278.78;-329.74;-258.83;-287.26;-398.13;-260.8;-265.78;-276.08;-331.95;-244.86;-333.53;-301.22;-256.39;-339.38;-216.92;-334.83;
406;-377.02;-253.79;-307.63;-279.36;-286.91;-260.01;-449.58;-280.39;-333.6;-387.44;-374.21;-338.48;-410.65;-242.73;-290.29;-270.14;-216.57;-278.94;-409.44;-240.03;-259.86;-303.97;-93.83;-184.07;-383.48;-312.46;-278.78;-329.66;-258.92;-287.21;-384.24;-198.63;-195.63;-283.45;-185.7;-217.82;-368.2;-225.87;-218.36;-293.17;-141;-231.09;-383.48;-312.46;-278.78;-329.66;-258.92;-287.21;-398.13;-261.09;-265.66;-276.08;-332.11;-244.82;-333.49;-301.14;-256.14;-339.88;-217.04;-334.71;
407;-377.02;-253.95;-307.79;-279.23;-286.91;-260.01;-449.63;-280.97;-333.56;-387.52;-374.08;-339.61;-410.73;-242.9;-290.25;-269.93;-216.82;-278.9;-409.57;-240.03;-259.94;-303.89;-93.5;-182.06;-383.44;-312.51;-278.78;-329.87;-259.04;-287.3;-384.33;-198.76;-195.63;-283.41;-186.41;-217.99;-368.36;-226.08;-218.4;-293.09;-141.25;-231.17;-383.44;-312.51;-278.78;-329.87;-259.04;-287.3;-398.08;-261.34;-265.45;-275.91;-332.32;-244.86;-333.53;-302.05;-255.8;-339.84;-217.25;-335.04;
408;-376.98;-253.95;-307.92;-279.19;-287;-259.97;-449.54;-280.18;-333.47;-387.48;-374.12;-339.78;-410.73;-242.77;-290.12;-269.6;-216.99;-278.98;-409.57;-239.99;-260.15;-303.55;-93.38;-175.76;-383.44;-312.59;-278.78;-329.7;-259.13;-287.26;-384.16;-198.71;-195.46;-283.2;-186.91;-218.16;-368.45;-226.25;-218.57;-293.09;-141.67;-231.46;-383.44;-312.59;-278.78;-329.7;-259.13;-287.26;-398.08;-261.5;-265.41;-275.78;-332.49;-244.86;-333.57;-301.18;-256.14;-339.79;-217.46;-335.62;
409;-376.94;-254.04;-307.92;-279.11;-287.12;-259.89;-449.63;-279.13;-333.35;-387.69;-373.71;-339.53;-410.73;-242.73;-289.96;-269.47;-217.07;-278.9;-409.65;-239.99;-260.36;-303.3;-93.25;-175.47;-383.44;-312.76;-278.83;-329.78;-259.29;-287.26;-384.37;-198.71;-195.46;-283.07;-187.41;-218.32;-368.49;-226.25;-218.69;-293.09;-142;-231.5;-383.44;-312.76;-278.83;-329.78;-259.29;-287.26;-398.04;-261.55;-265.37;-275.74;-332.65;-244.9;-333.49;-302.34;-256.3;-339.59;-217.58;-335.12;
410;-376.89;-254.08;-307.84;-278.98;-287.2;-259.93;-449.67;-280.39;-333.18;-387.02;-373.75;-339.94;-410.81;-242.73;-289.96;-269.18;-217.11;-278.94;-409.65;-239.95;-260.52;-302.93;-93.21;-177.68;-383.4;-312.8;-278.74;-329.83;-259.38;-287.38;-384.41;-198.8;-195.5;-282.86;-187.78;-218.36;-368.78;-226.37;-218.94;-293.01;-142.21;-231.71;-383.4;-312.8;-278.74;-329.83;-259.38;-287.38;-398.17;-261.84;-265.2;-275.66;-332.82;-244.98;-333.45;-302.18;-256.14;-339.21;-217.75;-335.37;
411;-376.85;-254.16;-307.79;-278.82;-287.33;-259.93;-449.58;-280.43;-333.01;-388.1;-373.71;-339.94;-410.81;-242.77;-289.87;-269.1;-217.2;-278.98;-409.65;-239.95;-260.73;-302.76;-93.13;-175.68;-383.36;-312.76;-278.78;-329.83;-259.38;-287.34;-384.37;-198.8;-195.38;-282.74;-188.24;-218.61;-368.66;-226.54;-219.19;-293.01;-142.21;-231.84;-383.36;-312.76;-278.78;-329.83;-259.38;-287.34;-398.08;-261.96;-265.07;-275.62;-332.99;-244.94;-333.49;-301.93;-256.8;-339.5;-217.87;-335.58;
412;-376.73;-254.24;-307.67;-278.73;-287.37;-259.93;-449.54;-281.35;-332.72;-387.9;-373.87;-339.9;-410.77;-242.86;-289.91;-269.39;-217.28;-278.98;-409.69;-239.87;-260.94;-302.43;-93.13;-173.8;-383.23;-313.01;-278.83;-329.95;-259.21;-287.51;-384.37;-198.96;-195.46;-282.57;-188.49;-218.7;-368.78;-226.96;-219.49;-293.05;-141.96;-232;-383.23;-313.01;-278.83;-329.95;-259.21;-287.51;-398.04;-262.21;-265.07;-275.49;-333.03;-244.98;-333.41;-302.93;-256.72;-339.75;-217.87;-335.33;
413;-376.68;-254.33;-307.59;-278.69;-287.37;-259.76;-449.5;-280.55;-332.43;-387.44;-373.91;-340.11;-410.77;-242.81;-289.91;-269.6;-216.91;-278.94;-409.78;-240.03;-261.15;-302.3;-92.75;-176.97;-383.31;-313.09;-278.95;-329.91;-259.13;-287.51;-384.33;-198.96;-195.42;-282.4;-188.7;-218.82;-368.78;-226.91;-219.74;-293.01;-141.13;-232.21;-383.31;-313.09;-278.95;-329.91;-259.13;-287.51;-398.08;-262.42;-264.91;-275.49;-332.99;-244.98;-333.49;-303.47;-256.68;-339.84;-217.75;-335.62;
