PUNTO;A 2023_0089 1;A 2024_0092 3;A 2024_0098 3;A 2024_0116 3;A 2024_0079 3;A 2024_0105 3;B 2023_0089 23;B 2024_0092 19;B 2024_0098 19;B 2024_0116 19;B 2024_0079 19;B 2024_0105 19;C 2023_0089 25;C 2024_0092 26;C 2024_0098 26;C 2024_0116 26;C 2024_0079 26;C 2024_0105 26;D 2023_0089 26;D 2024_0092 27;D 2024_0098 27;D 2024_0116 27;D 2024_0079 27;D 2024_0105 27;E 2023_0089 43;E 2024_0092 41;E 2024_0098 41;E 2024_0116 41;E 2024_0079 41;E 2024_0105 41;F 2023_0089 50;F 2024_0092 50;F 2024_0098 50;F 2024_0116 50;F 2024_0079 50;F 2024_0105 50;G 2023_0089 64;G 2024_0092 64;G 2024_0098 64;G 2024_0116 64;G 2024_0079 64;G 2024_0105 64;H 2023_0089 43;H 2024_0092 41;H 2024_0098 41;H 2024_0116 41;H 2024_0079 41;H 2024_0105 41;I 2023_0089 45;I 2024_0092 47;I 2024_0098 47;I 2024_0116 47;I 2024_0079 46;I 2024_0105 47;J 2023_0089 46;J 2024_0092 48;J 2024_0098 48;J 2024_0116 48;J 2024_0079 47;J 2024_0105 48;
248;1.5;2.92;0.1;2.32;1.66;1.58;0.84;5.42;3.08;-1.24;1;3.26;1.18;3.68;3.42;2.5;2.92;2.42;0.82;2.58;2.18;2.18;-0.42;13.18;1.58;2.42;2.42;1.34;1;2.76;0.92;3.42;3.84;2.42;2.6;3.66;1.18;1.5;2.76;1.34;1.92;3;1.58;2.42;2.42;1.34;1;2.76;1.34;2.82;2.9;2.24;1.68;1.92;1.66;3.16;3.76;2;2.58;1.34;
249;0.84;2.08;3.98;1.66;2.58;1.4;0.42;2.92;1.58;3;1.5;2.42;0.66;2.42;2.68;2.02;3.5;1.66;0.76;1.84;1.58;1.58;2.42;5.68;0.68;1.84;1.68;0.92;1.84;1.82;0.42;2.5;2.82;1.5;3.42;3.18;0.58;1.84;2.58;1.66;2.24;2.26;0.68;1.84;1.68;0.92;1.84;1.82;0.74;2;2.08;1.48;2.24;1.74;0.92;2.18;2.08;1.5;3.98;1.58;
250;1.58;2.82;3.64;2.32;1.82;2.5;1;0.84;1.76;1.84;1.34;0.42;1.28;3.34;3.76;2.58;2.18;2.5;1.24;2.18;1.84;1.92;1.26;3.42;1.24;2.26;2.26;2.08;1.08;3.1;0.84;3.18;3.6;2.26;2.5;4.16;1;2.6;3.34;1.26;1.76;3.08;1.24;2.26;2.26;2.08;1.08;3.1;1.42;2.82;2.66;2.26;1.26;1.98;1.58;2.58;4.08;2.08;2.48;2.84;
251;1;2.32;-0.74;1.58;2.58;1.66;0.5;1;1.68;1.08;2.24;2.24;0.74;2.58;2.74;1.66;2.92;1.76;0.84;1.66;1.34;1.6;2;-0.34;0.84;1.66;1.66;0.76;1.92;1.66;0.5;2.5;3.08;1.5;4.08;2.84;0.5;2.5;1.92;1.34;2.58;2.1;0.84;1.66;1.66;0.76;1.92;1.66;1.1;1.92;1.74;1.48;1.92;1.76;1.26;0.5;4.26;0.42;4;0.42;
252;1.26;2.66;1;2.24;2;2.16;0.82;2.66;2.42;1.5;0.84;0.76;0.94;3.42;3.76;2.76;1.5;2.34;0.68;2.26;2.08;1.92;-0.42;1.42;1.26;2.58;2.34;1.5;1.16;2.52;1.08;3.42;3.68;2.34;3.34;3.52;1;3.58;3.42;1.74;1.76;3;1.26;2.58;2.34;1.5;1.16;2.52;1.16;2.48;2.5;2.16;1.34;2.06;1.5;2.68;1.74;3.5;2.66;3;
253;1;1.16;1.42;1.66;2.48;1.74;0.5;3.68;1.58;-0.76;1.66;3;0.5;2.66;1.92;1.66;2.32;1.58;0.66;1.92;1.26;1.5;3.42;-0.08;0.66;1.68;1.76;1.08;2;1.92;0.08;2;3;1.58;4.02;2.82;0.76;0.76;2.08;0.92;2.24;2;0.66;1.68;1.76;1.08;2;1.92;0.84;2.24;1.9;1.5;2;1.34;0.92;1.16;1.76;0.42;3.98;2.16;
254;1.16;2.08;2.74;2.32;1.66;2.66;0.68;0.08;2;4.26;1.1;1.76;1.18;2.92;3.18;2.52;1.92;2.26;1;2.42;2.24;2;2.76;0.26;1.26;2.26;2;1.5;1.1;2.58;1.18;3.16;3.58;2.24;3;3.84;0.5;1.08;3.26;1.6;1.6;3;1.26;2.26;2;1.5;1.1;2.58;1.24;2.58;2.16;2.16;1.24;1.9;1.66;2.84;3.26;1.42;2.48;1.76;
255;1.1;1.9;7.54;1.66;2.74;1.82;0.5;3.02;1.42;-4.5;1.58;1.32;0.76;2.02;2.32;1.82;3.42;1.58;0.92;2.16;1.84;1.34;-2.18;-2.5;0.66;1.58;1.5;1.26;1.66;1.92;0.5;2.26;2.92;1.76;4.34;2.6;0.32;1.26;2.34;1.24;2.92;2.34;0.66;1.58;1.5;1.26;1.66;1.92;1.02;1.82;2.24;1.74;2.02;1.42;1;0.66;2.66;1.76;3.74;0.58;
256;1.16;2.66;0.58;2.34;1.58;2.58;0.58;0.4;2.42;5.84;1;1.52;0.84;2.92;3.26;2.52;2.18;2.34;0.74;2.6;2.26;1.92;2;-0.92;1.26;2.58;2.16;2.16;1.34;2.26;0.84;2.68;3.6;2.42;1.82;3;0.68;2.66;1.5;1.68;1.84;2.76;1.26;2.58;2.16;2.16;1.34;2.26;1.08;2.5;2.24;2.16;1.32;2.08;1.34;3.26;3.84;3.08;3;1.26;
257;1.26;7.14;2.16;1.56;2.58;1.9;0.42;2.6;1.76;0.16;2.42;2.08;0.76;2.08;2;1.58;3.58;2.08;0.6;1.74;1.92;1.66;-1.92;-0.26;0.74;1.5;1.52;1.1;1.58;1.74;0.58;2.16;2.92;1.42;2.68;2.74;0.5;0.92;0.74;1.08;2;2;0.74;1.5;1.52;1.1;1.58;1.74;0.84;1.9;2.24;1.58;2;1.32;1.08;2;2;1.08;3.72;3.08;
258;1.16;-0.5;0.34;2.42;1.74;2.42;1.08;6.68;2.84;1.84;0.84;2;1.08;2.76;2.34;2.58;2.52;2.6;1.08;2.42;3.34;2;-0.32;-0.74;1.18;2.34;2.16;1.66;1.6;2.68;1;2.5;3.42;2.5;2.26;3.52;0.92;1.5;2;1.66;1.66;2.84;1.18;2.34;2.16;1.66;1.6;2.68;1.5;2.5;2.5;2.16;1.18;1.32;1.68;-0.18;1.5;2.34;2.34;0.92;
259;0.76;0.34;4.64;1.74;2.82;1.98;0.08;-2;1.74;2.1;1.42;0.26;0.42;2.08;1.5;1.92;3.92;1.74;0.58;1.84;1.5;1.68;2.5;4.08;1.24;1.84;1.5;1.18;1.82;1.66;0.84;2.1;2.84;1.42;4.16;1.82;0.42;1.84;2.1;1.1;2.84;2;1.24;1.84;1.5;1.18;1.82;1.66;0.82;1.9;1.82;1.66;1.92;1.34;1.08;3.26;1.42;1.24;3.82;1.66;
260;1.16;3.56;0.5;2.32;2.08;2.74;0.84;2;2.34;0.08;0.74;0.08;1.1;2.84;2.5;2.5;2.42;2.42;0.76;2.26;2.58;2.08;-1.5;4.42;1.26;2.68;1.84;1.74;1.5;2.26;0.74;2.74;3.34;2.42;2.42;2.42;0.82;1.5;1.34;1.5;1.42;2.42;1.26;2.68;1.84;1.74;1.5;2.26;1;2.08;2.32;2.16;1.42;1.98;1.34;2.08;2.76;1.5;2.56;1.84;
261;1;-0.24;0.08;1.66;2.9;2.08;0.58;3.08;1.42;0.58;2.26;0.32;0.84;1.74;1.5;1.76;3;1.68;1.32;1.74;1.6;1.42;1.24;4.52;0.92;1.58;1.42;1.1;1.68;1.5;0.84;2.34;2.92;1.42;4.18;1.84;0.5;1;1;1.24;2.34;2;0.92;1.58;1.42;1.1;1.68;1.5;0.92;1.74;1.66;1.74;1.5;1.18;1.34;0.68;3.84;0;3.74;1.76;
262;1.5;3.14;4.82;2.16;1.66;2.66;0.6;2.18;2.08;2.16;1.08;1.84;0.84;2.5;3.68;2.34;1.84;2.58;0.6;2.44;2.66;2.16;1.42;4.5;1.58;2.34;1.92;1.92;1.42;2.68;1;2.58;3.42;2.26;3.08;3.1;0.92;2.58;2.08;1.58;1.58;2.68;1.58;2.34;1.92;1.92;1.42;2.68;1.42;2.16;2.16;2.32;1.34;2.06;1.32;3.84;1.74;2.34;2.66;1.4;
263;0.68;-0.32;3.66;1.92;2.42;2.16;0.74;1.82;1.42;0.42;1.68;0.08;0.6;1.6;2.34;1.74;2.92;1.66;0.5;1.5;2.1;1.34;0.68;0.84;0.84;1.74;1.5;1.16;1.84;1.5;0.58;1.76;2.58;1.5;4.1;2;0.42;1.6;1.42;1.1;2.58;1.82;0.84;1.74;1.5;1.16;1.84;1.5;0.92;1.66;1.92;1.58;1.58;1.5;0.76;0.08;2.34;1.26;3.66;2.6;
264;1.32;0.32;1.66;1.9;1.98;2.9;0.58;-0.9;2.52;0.26;0.92;1.42;0.74;2.08;3.08;2.42;2.16;2.42;1;2.16;1.58;1.76;0.42;2.5;1.58;2.42;1.92;1.42;1.16;2.34;1.08;2.58;3;2.08;2.92;1.84;1.08;0.66;2.16;0.92;1.26;2.6;1.58;2.42;1.92;1.42;1.16;2.34;1.34;2.08;2.24;2.16;1.16;1.74;1.42;2.16;3.16;0.24;2.16;1.92;
265;1.18;3.74;0.58;1.58;2.16;1.74;0.68;3.42;2.16;1.42;1.82;-0.16;0.94;1.84;2.18;1.6;2.84;1.6;0.82;1.26;0.74;1.42;2.08;0.16;1.26;1.68;1.76;0.92;1.92;1.66;0.76;1.92;2.58;1.42;3.84;1.66;0.08;1;2.18;1;2.08;1.66;1.26;1.68;1.76;0.92;1.92;1.66;1.16;1.58;1.82;1.74;1.68;1.58;1.16;1.34;1.42;0.26;3.22;0.58;
266;1.42;-0.16;0.58;2.08;1.84;3;0.74;1.58;1.08;1.66;1.34;-0.42;1.08;2.5;2.32;2.16;1.84;2.42;0.84;2.08;2.26;1.74;0.84;0.6;1.24;2.26;2.16;1.58;1.26;2.5;0.92;2.6;3.18;2.26;2.24;2.66;0.84;1.68;2.34;1.32;1.6;2.26;1.24;2.26;2.16;1.58;1.26;2.5;0.92;2.16;2.58;2.58;1.08;1.74;1.34;2.66;1.68;2.66;2.08;1.16;
267;0.84;2.16;4.56;1.58;3.06;2.16;0.5;2.08;0.92;-0.08;1.6;2.34;0.34;1.16;1.84;1.58;2.66;1.42;0.68;1.5;1.26;1.68;0.58;5.24;1.18;1.82;1.76;1.08;1.92;1.68;0.82;1.66;2.34;1.4;3.68;2.02;0.5;1.32;1.66;1.1;2.24;2;1.18;1.82;1.76;1.08;1.92;1.68;0.84;1.58;1.9;1.82;2;1.42;1;1.76;3.32;2.42;3.16;1.92;
268;1.4;2.82;4.08;1.98;2.24;2.64;0.6;2.76;1.68;1.26;1.24;0.5;1.1;1.76;2.08;2.26;1.92;2.08;0.9;2.1;1.66;1.92;2.34;2.68;1.08;2.52;2.16;1.18;1.08;2.16;0.92;2.58;3.34;1.76;2;2;0.5;0.84;0.68;1.16;2.1;2.16;1.08;2.52;2.16;1.18;1.08;2.16;1.26;2.06;2.58;2.42;1.08;1.58;1.42;0.66;3.6;0.76;2.32;0.92;
269;0.92;-0.82;-0.76;1.66;3.16;1.92;0.24;1.26;1.84;0.24;1.58;1.26;0.76;2.08;1.6;1.58;2.5;1.5;0.34;1.5;1.68;1;0.42;0.42;0.92;1.74;1.76;1.24;1.66;1.68;0.68;1.84;2.42;1.68;3.84;1.5;0.34;1.42;0.9;1;2.74;1.68;0.92;1.74;1.76;1.24;1.66;1.68;0.74;1.42;1.92;2.06;1.5;1.16;1.16;2.18;1.58;-0.08;3.32;1.84;
270;0.92;0.24;3.74;2.16;1.82;2.74;0.5;3.58;2.16;2.68;1.02;0.92;0.5;2.34;2.74;2.18;1.68;2.26;0.92;2;1.82;1.92;-0.1;10.18;1.34;2.18;2.16;1.26;1.1;2.16;1.08;2.42;3.08;1.9;2.74;2.16;0.58;1.58;1.52;1.18;2.34;2.08;1.34;2.18;2.16;1.26;1.1;2.16;1;2.08;2.56;2.34;1.1;1.4;0.92;0.92;4;0.5;2.08;2.34;
271;1.1;3.74;0.76;1.34;2.58;2;0.34;1.76;1.66;0.74;1.58;0.32;0.92;1.76;1.68;1.5;2.42;1.9;0.58;1.66;0.42;1.58;1.68;2.34;0.9;1.74;1.68;0.92;1.66;1.5;0.58;1.84;2.42;1.52;4.1;0.84;0.26;1.34;1.32;1;2.08;1.84;0.9;1.74;1.68;0.92;1.66;1.5;1.26;1.4;1.5;1.74;1.74;1.34;1.42;1.4;1.84;1.16;3.24;0.4;
272;1.16;-0.34;5.56;2.24;2;3.48;0.84;0.58;2.68;0.6;1.24;0.76;0.76;2.24;2.58;2.24;1.32;2.26;1;1.92;0.92;1.76;1.26;3.08;1.34;2.6;1.76;1.66;0.92;2.34;1.18;2.34;3.08;2;3.08;1.34;0.66;-0.16;2;1.16;2.18;2.18;1.34;2.6;1.76;1.66;0.92;2.34;1.42;1.84;2.4;2.24;1.18;1.4;1.34;2.6;1.84;1.5;2.32;1.26;
