day_time_index,Vacio_01,score_Vacio_01,Vacio_03,score_Vacio_03,Vacio_05,score_Vacio_05,Vacio_07,score_Vacio_07,Vacio_11,score_Vacio_11,Vacio_13,score_Vacio_13,Vacio_19,score_Vacio_19,Vacio_23,score_Vacio_23,Vacio_25,score_Vacio_25,Vacio_26,score_Vacio_26,Vacio_27,score_Vacio_27,Vacio_28,score_Vacio_28,Vacio_32,score_Vacio_32,Vacio_33,score_Vacio_33,Vacio_34,score_Vacio_34,Vacio_35,score_Vacio_35,Vacio_36,score_Vacio_36,Vacio_37,score_Vacio_37,Vacio_38,score_Vacio_38,Vacio_39,score_Vacio_39,Vacio_41,score_Vacio_41,Vacio_42,score_Vacio_42,Vacio_43,score_Vacio_43,Vacio_45,score_Vacio_45,Vacio_47,score_Vacio_47,Vacio_48,score_Vacio_48,Vacio_49,score_Vacio_49,Vacio_50,score_Vacio_50,Vacio_51,score_Vacio_51,Vacio_52,score_Vacio_52,Vacio_54,score_Vacio_54,Vacio_56,score_Vacio_56,Vacio_57,score_Vacio_57,Vacio_58,score_Vacio_58,Vacio_59,score_Vacio_59,Vacio_60,score_Vacio_60,Vacio_61,score_Vacio_61,Vacio_62,score_Vacio_62,Vacio_63,score_Vacio_63,Vacio_64,score_Vacio_64
561,-564.53,0.16706772078576057,-261.63,0.26939679602242383,-556.39,0.18857032323521347,-561.48,0.19342019620192002,-567.13,0.2028582597229306,-560.09,0.17669430223665314,-353.3,0.23322332907315485,-568.32,0.17434868016529115,-565.75,0.1594771647127404,-283.49,0.21812511644684562,160.25,0.50057092598666,-572.21,0.1850276253812081,-563.49,0.17085690166447484,-561.57,0.19656688845790238,-564.56,0.1654087768492552,-565.88,0.2034440858030574,-567.08,0.19756042877853874,-562.96,0.17232796021388835,-563.08,0.17933794510073248,-580.38,0.19973540901858933,-291.3,0.2012798960342645,-564.67,0.19684335308300233,-567.74,0.19212164282215283,-563.69,0.18785868424336583,-248.18,0.3192729104405362,-339.63,0.35277752835410314,-567.03,0.18733894367774515,-228.25,0.18355966334405477,-575.38,0.16510802991853873,-564.43,0.21456039908953461,-569.58,0.1591322847606937,-563.84,0.1611641608883962,-565.45,0.17998698078149944,-565.63,0.19621339864955162,-566.9,0.2034749639379367,-564.46,0.18866968611807647,-251.88,0.2372465995440975,-564.22,0.17192601690779558,-554.42,0.1810210663149482,-241.39,0.2700850510965346
562,-564.78,0.16676230376473927,-261.55,0.2619696673920503,-556.68,0.1884444539071532,-563.11,0.19299276569984503,-568.76,0.195641092414928,-560.5,0.17668534199655916,-353.46,0.23377409168832086,-569.91,0.1783119610353453,-566.0,0.15915382508305137,-283.36,0.21859344011165563,156.08,0.48811191349672656,-573.75,0.1952889832158376,-565.21,0.17459863252149957,-561.86,0.1925478536002891,-564.89,0.16981108822263485,-567.43,0.2035495476743054,-568.71,0.19707417338048588,-563.29,0.17229039618875547,-563.37,0.17975621584581306,-581.97,0.19736549633840245,-291.3,0.20038065499529173,-565.0,0.19667899172872616,-569.37,0.1948476415562062,-563.89,0.19143348146933006,-248.22,0.318930778173605,-339.46,0.35434361783269486,-567.23,0.18753517792301236,-228.13,0.1793380288393003,-576.97,0.17616432878638522,-566.18,0.2144653772583604,-569.96,0.15608121096601388,-565.43,0.16095907112014168,-565.79,0.18151807907999978,-565.88,0.19889270314047386,-568.49,0.20311434371896195,-566.17,0.18700139773345412,-252.05,0.23688712372040882,-564.51,0.1718855376465341,-556.05,0.1805603383708579,-241.1,0.27028040767574535
563,-564.16,0.17097413324364874,-261.63,0.26670820357838043,-556.14,0.20103761123018993,-563.77,0.19316294850955545,-569.43,0.19567567522284146,-559.75,0.181776818048501,-352.96,0.24128079038813358,-570.49,0.1742092708691853,-565.33,0.17348098471857118,-283.32,0.21358707588786852,151.07,0.4912365784409711,-574.46,0.18944272327713918,-565.75,0.17080516105299443,-561.24,0.208436420283163,-564.23,0.17910641037508815,-568.18,0.20351346174330678,-569.33,0.19736400979971078,-562.67,0.1806637234120157,-562.66,0.18329882093018424,-582.72,0.19417749303735587,-291.05,0.19667075766992773,-564.42,0.19620989618453127,-569.95,0.19199081704785936,-563.35,0.19595256474591652,-248.18,0.3180981145674939,-339.79,0.35133547221657746,-566.73,0.18773060655243456,-228.09,0.17920599594673517,-577.55,0.17201211973449326,-566.81,0.21449145713265155,-569.33,0.14520683919665883,-566.05,0.16103455941011452,-565.16,0.18499009727497767,-565.34,0.19928222199049955,-569.2,0.20325519471544312,-566.71,0.18862266471659037,-252.05,0.24102428358622205,-563.97,0.18599442013106515,-556.72,0.18071777780446907,-240.85,0.27018641027781953
564,-564.16,0.17256521175170708,-261.63,0.26984700985125565,-556.01,0.20826609234041507,-563.61,0.20607258586524052,-569.18,0.19676408555343983,-559.67,0.1863963034124931,-353.17,0.24216784603788166,-570.24,0.16622066149870468,-565.25,0.17688550338378384,-283.24,0.21344089859900817,157.87,0.5027229563321285,-574.38,0.1754749421638147,-565.62,0.17085218275458108,-561.15,0.21166029178875215,-564.06,0.17782025660664447,-567.97,0.20323481000729604,-569.04,0.2003397681343893,-562.58,0.18311038397057744,-562.7,0.18618747057962654,-582.47,0.19887419683952076,-290.97,0.19799859770742817,-564.25,0.19583725476413438,-569.75,0.19237516147209643,-563.14,0.20005864301698917,-248.26,0.3184846671066397,-339.04,0.32814540472505616,-566.69,0.18777101466107113,-228.17,0.1791087742403335,-577.43,0.15851608348020288,-566.6,0.21331907844718392,-569.16,0.14577727469701157,-565.93,0.16130043855552934,-565.08,0.18719394964390423,-565.25,0.19989226850002642,-568.99,0.20378602613107397,-566.54,0.18725542650104154,-252.09,0.24107413653344306,-563.89,0.18034326716273713,-556.55,0.19084434279676116,-240.68,0.2696151389530491
565,-564.7,0.17272876510029883,-261.63,0.26240916312087825,-556.64,0.20817796378446085,-563.65,0.2071808767798172,-569.3,0.19461648647977137,-560.34,0.18594580074102698,-353.3,0.24577621162682178,-570.28,0.16666902669456762,-565.88,0.17686101107568175,-283.28,0.21330645150257738,164.01,0.4917438980973491,-574.38,0.16889790103366514,-565.75,0.17169947475556424,-561.7,0.2165970669286505,-564.77,0.17790676129419103,-567.93,0.20799056216098644,-569.16,0.1906861478526765,-563.13,0.18285084407014995,-563.29,0.18608006971832303,-582.51,0.2326192793666787,-290.89,0.19829487963818804,-564.87,0.18831665260949063,-569.83,0.18925835249969059,-563.85,0.19998847807507977,-248.1,0.31652235744923757,-339.29,0.32831215162267846,-567.23,0.18775321977393694,-228.09,0.17895173840089784,-577.47,0.1674109621297729,-566.68,0.21332984566140029,-569.83,0.14576292850546732,-565.97,0.16675003004865807,-565.7,0.18730330267453782,-565.88,0.19997139369991612,-568.99,0.19484422717021077,-566.63,0.1915515327993184,-252.13,0.24415722086373687,-564.51,0.18056327320059207,-556.55,0.19581265697904474,-240.48,0.26734213271803875
566,-564.53,0.1765350216843939,-261.63,0.2617563519310414,-556.51,0.22406870562272777,-564.11,0.20741638856405373,-569.72,0.19462679413523226,-560.13,0.19182898812680937,-353.21,0.24731669472190485,-570.74,0.16686637172457192,-565.67,0.17366096018440563,-283.36,0.2131685584304015,169.47,0.477287059313354,-574.79,0.16380484216328953,-566.04,0.1828651002776127,-561.53,0.21058344059945694,-564.48,0.17838212792163388,-568.39,0.2080352866483316,-569.62,0.19078493568398824,-562.96,0.18160561229628464,-563.0,0.1827327079313878,-582.93,0.2210306036934951,-290.8,0.19851082470804315,-564.62,0.18783539405378835,-570.2,0.18931785963192108,-563.6,0.20208234288283614,-248.18,0.3223643629604036,-339.0,0.3286249815632455,-567.07,0.1834788212912765,-228.09,0.18427469387905032,-577.97,0.16703000623259207,-567.1,0.21816579357931828,-569.58,0.14773731673875617,-566.35,0.16685297126258772,-565.5,0.18650896722982127,-565.59,0.20050769852918343,-569.36,0.19469264839960104,-567.08,0.19162750261780145,-252.22,0.24419181405458737,-564.22,0.17622628005716728,-556.97,0.1961807115885939,-240.22,0.25996563577101267
567,-563.86,0.17834279663916047,-261.63,0.260869177289446,-555.76,0.22839297903533423,-563.65,0.2106035013701399,-569.26,0.20429577220515727,-559.42,0.1968389579555616,-353.42,0.2486506313263866,-570.41,0.1699087420400198,-564.99,0.17821390254277636,-283.32,0.21935743399924168,172.44,0.4588358611537929,-574.38,0.17587208347044705,-565.67,0.1818918542733317,-560.86,0.2167928999478836,-563.89,0.17776903685756915,-568.01,0.21106088586637478,-569.12,0.19103805891526504,-562.33,0.1874674917989358,-562.37,0.18897779033953574,-582.47,0.21608607744807876,-290.64,0.19868453674983827,-564.04,0.1929693894100673,-569.91,0.18378012414919404,-562.98,0.19920036751118664,-248.1,0.32231318011092724,-339.63,0.32861886063143575,-566.4,0.17777172823840887,-228.21,0.18415517447088278,-577.47,0.17116235516095135,-566.73,0.20863059806561302,-569.04,0.14743015710613472,-565.89,0.17119105645382365,-564.7,0.19882781466163216,-565.0,0.21396560471946807,-569.07,0.1926782517304978,-566.67,0.1974875247766546,-252.26,0.24417613041069647,-563.64,0.18043371319601426,-556.55,0.1910374715193644,-240.1,0.23523433039307162
568,-563.95,0.18531653760004774,-261.63,0.2645187414047068,-555.8,0.23570182892888758,-563.52,0.20993159555939944,-569.14,0.20758226569465021,-559.5,0.21049011467122591,-353.59,0.2513450759385121,-570.2,0.17026944888120643,-565.04,0.17921396761810637,-283.36,0.22196968372963544,172.23,0.45962209951203514,-574.21,0.16185277887116623,-565.54,0.18408712452525106,-560.9,0.21778209455440684,-563.81,0.18255150131314413,-567.84,0.21850639226861507,-569.0,0.20382036493619762,-562.33,0.1895150746782539,-562.45,0.19181138802072661,-582.47,0.2124474711369452,-290.59,0.19878928701705567,-564.04,0.1949675411255679,-569.62,0.1879926115519132,-562.98,0.2057028136863957,-248.1,0.3218811592460471,-339.38,0.32871407552164855,-566.4,0.18599024792124602,-228.25,0.1839802807804713,-577.34,0.15810824573079718,-566.48,0.21114537394541974,-568.95,0.14559041643099008,-565.85,0.16550708851599316,-564.87,0.19991711209705035,-564.96,0.21634020476157328,-568.86,0.19730915830481532,-566.5,0.20052050170158206,-252.39,0.25057094300412974,-563.55,0.1848660251428785,-556.38,0.20894006717070368,-239.93,0.22353652694496834
569,-564.82,0.18538000982322486,-261.55,0.27516270353308747,-556.72,0.2357441742353351,-563.86,0.21655842878235648,-569.43,0.20748965160422445,-560.42,0.21057634972143738,-354.05,0.2522661494251123,-570.57,0.16814056034647512,-565.92,0.17928045110911253,-283.45,0.22218821380835826,171.68,0.46117098420750363,-574.59,0.16223030161450847,-565.92,0.18639913278904988,-561.82,0.21784453298796336,-564.81,0.1824782065499303,-568.18,0.21427995342976053,-569.29,0.21581985982032098,-563.17,0.18945644292339958,-563.41,0.19177290741470726,-582.68,0.19660138479850447,-290.51,0.198843943746015,-564.96,0.19491785851497406,-570.04,0.1910176940261538,-563.94,0.20564368070287353,-248.01,0.321445837517901,-339.67,0.32867238748589456,-567.36,0.1859589525190643,-228.17,0.18370391145481418,-577.68,0.15458446210666693,-566.81,0.21391041964768498,-569.87,0.14558595208956415,-566.18,0.1684582142299991,-565.79,0.1999473383829452,-566.0,0.21436749572156746,-569.28,0.20068911449909144,-566.79,0.20318041390512306,-252.39,0.2504756193557839,-564.6,0.18475146434020212,-556.72,0.21528082557111297,-239.89,0.22276995359114354
570,-564.66,0.18527038406652543,-261.51,0.27850929492187915,-556.68,0.24971489313928272,-563.27,0.22094300840221143,-568.8,0.207682048563819,-560.21,0.2105840706026788,-353.59,0.2654391949964222,-569.86,0.1856026881805994,-565.75,0.18066020834476415,-283.45,0.22243053246772138,173.6,0.45860169217570934,-573.92,0.16284757006355807,-565.21,0.18678088536837695,-561.57,0.22789923098335807,-564.56,0.19009101856507343,-567.64,0.21267527870481498,-568.71,0.21489840547740713,-563.13,0.18735560019786657,-563.2,0.20262336692803617,-582.17,0.187623382102141,-290.22,0.19840652848854462,-564.87,0.1894192798050254,-569.41,0.19382966659095335,-563.77,0.20388046887264874,-248.01,0.33280114211206246,-340.21,0.3286613253254493,-567.11,0.1859624825921224,-228.17,0.1834329669846702,-577.05,0.13942506989490078,-566.18,0.19977369607039952,-569.79,0.15089810293213285,-565.55,0.17257676727611582,-565.66,0.20402465925135477,-565.75,0.21176531253282904,-568.57,0.21240908803876382,-566.21,0.20324173747290414,-252.55,0.24714418405841823,-564.43,0.1856847209005167,-556.09,0.2360640615328698,-239.68,0.22819434085159473
571,-564.62,0.1955633857874607,-261.55,0.2891210684195349,-556.43,0.2572313873432781,-563.02,0.22161836414650948,-568.55,0.2080585345458354,-560.21,0.2129575660670744,-354.09,0.2656690186017904,-569.61,0.19177420645852244,-565.67,0.18616049215987324,-283.49,0.22262172796616686,176.48,0.45691771807342596,-573.58,0.16334500889648368,-565.0,0.2107575540934006,-561.53,0.23602665940266665,-564.56,0.18668556019424076,-567.26,0.21543598746938858,-568.37,0.20584885873014586,-562.96,0.18239398683012145,-563.04,0.20902211765047818,-581.84,0.18933058474179723,-290.3,0.19748224225257094,-564.67,0.18856786363150396,-569.08,0.19831005092714574,-563.73,0.20456174682834893,-247.93,0.33248504640126686,-339.42,0.33359018213772307,-567.07,0.18578069001340225,-228.21,0.18598781736412967,-576.63,0.1395593113986207,-566.02,0.20178302336857346,-569.71,0.15675783155820494,-565.18,0.16873417742951036,-565.5,0.20375679270039,-565.67,0.21613231594800833,-568.15,0.21263744105317536,-565.83,0.20651540015289238,-252.64,0.21420020166946202,-564.3,0.19131382757038654,-555.84,0.2666201846892525,-239.43,0.23119472256047258
572,-564.45,0.2003600105997589,-261.38,0.30312266162671253,-556.34,0.2580238279203312,-563.19,0.22240993874830994,-568.84,0.21007452993166909,-560.0,0.21797859554428584,-353.8,0.2677357413817658,-569.95,0.19198433364773201,-565.63,0.18730568424184368,-283.53,0.2227733353722188,178.53,0.44991282751619854,-573.88,0.1638446659950984,-565.21,0.20977972324257088,-561.36,0.22446872819720717,-564.35,0.18914820193371001,-567.59,0.22030409456403108,-568.75,0.20608026916300104,-562.79,0.18928316240416987,-562.91,0.19631711703394977,-582.13,0.18387986865771294,-290.14,0.20466563329200005,-564.5,0.19069299221812902,-569.41,0.19839100413103633,-563.48,0.20606094816128712,-247.97,0.33579201013985704,-340.21,0.3336670300834148,-566.9,0.18734834522750982,-228.04,0.18553433739231853,-577.18,0.136789559552568,-566.18,0.21005114434450217,-569.5,0.16331976777243168,-565.47,0.16812839450144257,-565.33,0.20529671335756747,-565.46,0.2176237380123356,-568.65,0.21294025859542431,-566.21,0.22428639392319472,-252.64,0.2138550445152598,-564.1,0.196168837876989,-556.13,0.2574281380563928,-239.22,0.23105824566969826
